22/05/2024:20:58;-24.5
22/05/2024:20:59;-24.2
22/05/2024:20:59;-24
22/05/2024:20:59;-24.1
22/05/2024:21:00;-24.2
22/05/2024:21:02;-24.1
22/05/2024:21:02;-24.2
22/05/2024:21:02;-24.2
22/05/2024:21:03;-24.3
22/05/2024:21:04;-24.1
22/05/2024:21:19;-24
22/05/2024:21:34;-24.1
22/05/2024:21:49;-24.3
22/05/2024:22:04;-24.2
22/05/2024:22:19;-24
22/05/2024:22:34;-24.1
22/05/2024:22:49;-24.3
22/05/2024:23:04;-24.4
22/05/2024:23:19;-24.2
22/05/2024:23:34;-24.3
22/05/2024:23:49;-24.3
23/05/2024:00:04;-24.2
23/05/2024:00:19;-24.3
23/05/2024:00:34;-24.1
23/05/2024:00:49;-24.1
23/05/2024:01:04;-24
23/05/2024:01:19;-24.1
23/05/2024:01:34;-24.1
23/05/2024:01:49;-24.2
23/05/2024:02:04;-24.2
23/05/2024:02:19;-24.2
23/05/2024:02:34;-24.4
23/05/2024:02:49;-24.5
23/05/2024:03:04;-24.4
23/05/2024:03:19;-24.6
23/05/2024:03:34;-24.5
23/05/2024:03:49;-24.6
23/05/2024:04:04;-24.6
23/05/2024:04:19;-24.5
23/05/2024:04:34;-24.7
23/05/2024:04:49;-24.9
23/05/2024:05:04;-25.1
23/05/2024:05:19;-24.9
23/05/2024:05:34;-25.1
23/05/2024:05:49;-24.9
23/05/2024:06:04;-24.7
23/05/2024:06:19;-24.9
23/05/2024:06:34;-24.9
23/05/2024:06:49;-25.1
23/05/2024:07:04;-24.9
23/05/2024:07:19;-24.7
23/05/2024:07:34;-24.8
23/05/2024:07:49;-24.9
23/05/2024:08:04;-24.7
23/05/2024:08:19;-24.6
23/05/2024:08:34;-24.8
23/05/2024:08:49;-24.9
23/05/2024:09:04;-25.1
23/05/2024:09:19;-25.3
23/05/2024:09:34;-25.3
23/05/2024:09:49;-25.1
23/05/2024:10:04;-24.9
23/05/2024:10:19;-24.7
23/05/2024:10:34;-24.7
23/05/2024:10:49;-24.5
23/05/2024:11:04;-24.3
23/05/2024:11:19;-24.4
23/05/2024:11:34;-24.6
23/05/2024:11:49;-24.5
23/05/2024:12:04;-24.5
23/05/2024:12:19;-24.3
23/05/2024:12:34;-24.3
23/05/2024:12:49;-24.2
23/05/2024:13:04;-24.2
23/05/2024:13:19;-24.4
23/05/2024:13:34;-24.3
23/05/2024:13:49;-24.5
23/05/2024:14:04;-24.5
23/05/2024:14:19;-24.5
23/05/2024:14:34;-24.4
23/05/2024:14:49;-24.5
23/05/2024:15:04;-24.5
23/05/2024:15:19;-24.5
23/05/2024:15:34;-24.5
23/05/2024:15:49;-24.7
23/05/2024:16:04;-24.7
23/05/2024:16:19;-24.9
23/05/2024:16:34;-24.7
23/05/2024:16:49;-24.8
23/05/2024:17:04;-24.9
23/05/2024:17:19;-24.8
23/05/2024:17:34;-24.9
